CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,INDUSTRIAL_CLASS,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,REGISTERED_OFFICE_ADDRESS,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,LATEST_YEAR_ANNUAL_RETURN,LATEST_YEAR_FINANCIAL_STATEMENT
U45400AN2013PTC000201,MSM TECHNO PROJECTS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,05-07-2013,Andaman and Nicobar Islands,1000000,1000000,`45400,Construction,"SURVEY NO-939, BACK SIDE OF HOTEL MSM, DAIRY FARM JUNCTION, JUNGLIGHAT PORT BLAIR Andaman Islands AN IN 744103",RoC-Chennai,ravichandransca.efile@gmail.com,31-03-2016,31-03-2016
U45400AN2013PTC000203,TEJA PROJECTS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,29-07-2013,Andaman and Nicobar Islands,1000000,100000,`45400,Construction,SBM COMPLEX ATR ROAD SHOP NO. 09 RANGAT Andaman Islands AN IN 744205,RoC-Chennai,babu.badat@gmail.com,NA,NA
U45400AN2013PTC000214,A T SHANMUGAM CONSTRUCTION PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,18-11-2013,Andaman and Nicobar Islands,500000,100000,`45400,Construction,"NO. II/05 RANGAT II, RANGAT NORTH AND MIDDLE ANDAMAN AN IN 744205",RoC-Chennai,athi2683@gmail.com,31-03-2015,31-03-2015
U45400AN2016PTC000283,M.R.L BUILDERS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,19-02-2016,Andaman and Nicobar Islands,2000000,100000,`45400,Construction,"NO 15/14 SAROJINI NAIDU ROAD DEEN STREET HOUSING SOCIETY, GOAL GHAR PORT BLAIR Andaman Islands AN IN 744103",RoC-Chennai,krishna.mrl@hotmail.com,NA,NA
U45400AN2018PTC005394,PARIVAAR S. R. PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,18-01-2018,Andaman and Nicobar Islands,1000000,100000,`45400,Construction,"c/o S.R.Castle, Opp Government Polytechnic, Dollygunj Port Blair Andaman Islands AN IN 744103",RCAND,sandipbiswas20082@gmail.com,NA,NA
U74300AN2015PTC000259,ARQ ADVERTISING PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,11-05-2015,Andaman and Nicobar Islands,100000,100000,`74300,Business Services,"OPP. GATE NO.3, JUNGLIGHAT JETTY PORT BLAIR, S/ ANDAMAN ANDAMAN Andaman Islands AN IN 744103",RoC-Chennai,bharatvermas@yahoo.com,31-03-2016,31-03-2016
U52100AN2012PTC000170,NEXT GENERATION RETAIL PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,08-03-2012,Andaman and Nicobar Islands,12500000,8000000,`52100,Trading,"106/23, J N ROAD ANARKALI, HADDO PORT BLAIR AN IN 744102",RoC-Chennai,roybagchi@gmail.com,31-03-2017,31-03-2017
U52190AN1996PTC000052,E.M.JADWET & COMPANY PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,22-04-1996,Andaman and Nicobar Islands,2000000,0,`52190,Trading,Tower House Aberdeen Bazar AN IN 744101,RoC-Chennai,NA,NA,NA
U52190AN1996PTC000053,IMPERIAL AGENCIES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,10-07-1996,Andaman and Nicobar Islands,2500000,2500000,`52190,Trading,2 Middle Point Port Blair AN IN 744101,RoC-Chennai,akayes123@gmail.com,31-03-2017,31-03-2017
U52190AN1996PTC000054,SARKAR AGENCY PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,25-07-1996,Andaman and Nicobar Islands,1000000,0,`52190,Trading,Diglipur North Andaman AN IN 744101,RoC-Chennai,NA,NA,NA
U52190AN1997PTC000055,EMERALD MARKETING SERVICES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,07-01-1997,Andaman and Nicobar Islands,1000000,930400,`52190,Trading,"10 Gandhi Bhavan Phoenix Bay, Port Blair South Andaman AN IN 744101",RoC-Chennai,fyjgroup@hotmail.com,31-03-2017,31-03-2017
U52300AN2011PTC000166,E CAVE SHOPEE PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,14-10-2011,Andaman and Nicobar Islands,100000,100000,`52300,Trading,"No. 107, Surya Rao Apartment, 2nd Floor, Next To Axis Bank, Middle Point, M G Road Port Blair Andaman Islands AN IN 744101",RoC-Chennai,cavineetdixit@gmail.com,NA,NA
U52330AN2008PTC000093,FY TRADING COMPANY PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,23-01-2008,Andaman and Nicobar Islands,2000000,2000000,`52330,Trading,TOWER HOUSE ABERDEEN BAZAR PORT BLAIR AN IN 744101,RoC-Chennai,jadwet@hotmail.com,31-03-2017,31-03-2017
U52341AN2007PTC000092,MEGAPODE TRADING COMPANY PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,28-12-2007,Andaman and Nicobar Islands,100000,100000,`52341,Trading,"NO.1, I FLOOR, AKASH MARKET BATHUBASTHI, PORT BLAIR ANDAMAN Andaman Islands AN IN 744105",RoC-Chennai,softech_computers@rediffmail.com,NA,NA
U52390AN2013PTC000198,G.S.K.P STORES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,11-06-2013,Andaman and Nicobar Islands,1000000,100000,`52390,Trading,SHOP NO. 4 GANDHI BHAWAN CONGRESS OFFICE BUILDING PORT BLAIR Andaman Islands AN IN 744101,RoC-Chennai,babu.badat@gmail.com,NA,NA
U52390AN2014PTC000232,S.L ENTERPRISES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,09-09-2014,Andaman and Nicobar Islands,2000000,800000,`52390,Trading,PROTHRAPUR PORT BLAIR Andaman Islands AN IN 744104,RoC-Chennai,babu.badat@gmail.com,NA,NA
U52392AN1997PTC000057,KRONE ELECTRONICS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,28-07-1997,Andaman and Nicobar Islands,1000000,0,`52392,Trading,Goalghar Port Blair AN IN 744101,RoC-Chennai,NA,NA,NA
U52392AN1998PTC000059,ACADEMIC CENTRE SOFTWARE AND MANAGEMENT EXCELLENCE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,20-08-1998,Andaman and Nicobar Islands,1500000,15000,`52392,Trading,No.210 Shadipur Port Blair South Andaman AN IN 744101,RoC-Chennai,NA,NA,NA
U52392AN2001PTC000066,ANDAMAN COMPUTERS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,08-11-2001,Andaman and Nicobar Islands,1500000,2000,`52392,Trading,"84 M G Road Middle Point, Port Blair South Andaman AN IN 744101",RoC-Chennai,babu.badat@gmail.com,NA,NA
U52392AN2003PTC000070,ANDAMAN INFOWAY PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,13-11-2003,Andaman and Nicobar Islands,1000000,0,`52392,Trading,Aberdeen Bazar Port Blair AN IN 744101,RoC-Chennai,NA,NA,NA
U52399AN2006PTC000079,MULTIPLE AGENCIES PRIVATE LIMITED,Active,Private,Company Limited by Guarantee,Non-govt company,13-12-2006,Andaman and Nicobar Islands,5000000,120000,`52399,Trading,"MB-12, Aberdeen Bazaar Port Blair AN IN 744101",RoC-Chennai,NA,NA,NA
U52399AN2006PTC000080,RAHMAT TRADING COMPANY PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,15-12-2006,Andaman and Nicobar Islands,20000000,20000000,`52399,Trading,Aberdeen Bazaar Port Blair AN IN 744101,RoC-Chennai,ROC@VLP.COIN,31-03-2014,31-03-2014
U52399AN2006PTC000081,K.DORAISWAMY TRADING CO.PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,21-12-2006,Andaman and Nicobar Islands,2000000,800000,`52399,Trading,MB-34 Aberdeen Bazaar Port Blair AN IN 744101,RoC-Chennai,pblktco@bsnl.in,31-03-2017,31-03-2017
U52399AN2007PTC000083,SRI KRISHNAVENI TRADING COMPANY PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,13-04-2007,Andaman and Nicobar Islands,2000000,800000,`52399,Trading,"MB-34, Aberdeen Bazaar Port Blair AN IN 744101",RoC-Chennai,pblktco@sancharnet.in,31-03-2017,31-03-2017
U74990AN2010PTC000144,VISION ADVERTISING PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,13-05-2010,Andaman and Nicobar Islands,100000,100000,`74990,Business Services,"No-22, CHURCH LANE, GOALGHAR HADDO POST, PORT BLAIR Andaman Islands AN IN 744102",RoC-Chennai,efile.casatya@gmail.com,NA,NA
U74990AN2011PTC000151,ZAM SECURITIES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,08-02-2011,Andaman and Nicobar Islands,500000,290400,`74990,Business Services,NO. 22 ANDHRA ASSOCIATION COMPLEX GURUDWARA LANE PORT BLAIR AN IN 744101,RoC-Chennai,ihbadat@gmail.com,31-03-2017,31-03-2017
U74990AN2015PTC000265,ANDAMAN CLUB PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,10-07-2015,Andaman and Nicobar Islands,1000000,100000,`74990,Business Services,"29 M.G ROAD, ABERDEEN BAZAR SURVEY NO 142/A ROOM NO. 1A, PORT BLAIR Andaman Islands AN IN 744101",RoC-Chennai,arorapb@gmail.com,31-03-2016,31-03-2016
U74994AN2018PTC005389,GENEX RESORTS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,08-01-2018,Andaman and Nicobar Islands,100000,100000,`74994,Business Services,"Plot No.4 and 5,Survey No.51/1,Jodakalan Netaji Nagar, Telerabad, Port Blair South Andaman Andaman Islands AN IN 744103",RCAND,skynetfm@live.com,NA,NA
U74995AN2016PTC005297,TALK AND TRIP MARKETING PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,30-04-2016,Andaman and Nicobar Islands,100000,100000,`74995,Business Services,"Room No. 1, Ground Floor, RCC Building, DP Road, Near Reliance, Lillypur, Haddo, Port Blair Tehsil Andaman Islands AN IN 744101",RoC-Chennai,vinaykhannadiamond@gmail.com,NA,NA
U74999AN1976PTC000004,ORIENT TRADING COMPANY PRIVATE LIMITED.,Strike Off,Private,Company limited by Shares,Non-govt company,24-03-1976,Andaman and Nicobar Islands,100000,0,`74999,Business Services,xx xx AN IN 744104,RoC-Chennai,NA,NA,NA
U74999AN1983PTC000011,ANDAMAN INDUSTRIAL ENTERPRISES PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,07-12-1983,Andaman and Nicobar Islands,2500000,0,`74999,Business Services,xx xx AN IN 744104,RoC-Chennai,NA,NA,NA
U74999AN1988SGC000028,ANDAMAN AND NICOBAR ISLANDS INTEGRATED DEVELOPMENT CORPORATION LIMITED.,Active,Private,Company limited by Shares,State Govt company,28-06-1988,Andaman and Nicobar Islands,500000000,109700600,`74999,Business Services,"VIKAS BHAVAN POST BOX NO.180, PORT BLAIR AN IN 744101",RoC-Chennai,aniidco@gmail.com,31-03-2017,31-03-2017
U74999AN2009PTC000118,KRISHPRATAP PLACEMENT SERVICES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,22-06-2009,Andaman and Nicobar Islands,200000,200000,`74999,Business Services,M.B 171 M.G ROAD JUNGLIGHAT PORT BLAIR Andaman Islands AN IN 744101,RoC-Chennai,kuldeep.portblair@rediffmail.com,31-03-2017,31-03-2017
U74999AN2011PTC000150,VANGUARD SHIPPING SERVICES PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,24-01-2011,Andaman and Nicobar Islands,500000,100000,`74999,Business Services,NO 164 HOTEL JAI MATHI 1st FLOOR PHONEIX BAY PORT BLAIR AN IN 744101,RoC-Chennai,ganesh1278@gamil.com,31-03-2012,31-03-2012
U74999AN2011PTC000159,OCEAN TRIBE SCUBA PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,22-07-2011,Andaman and Nicobar Islands,4500000,400000,`74999,Business Services,"NEXT TO SEA VIEW BEACH RESORT, GOVIND NAGAR, VILLAGE NO. 3, HAVELOCK, SOUTH ANDAMAN AN IN 744211",RoC-Chennai,ocean.tribe.scuba@gmail.com,31-03-2017,31-03-2017
U74999AN2012PTC000171,BEST FOR YOU GOOD APPLIANCES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,19-03-2012,Andaman and Nicobar Islands,100000,100000,`74999,Business Services,"C 269, Netaj Nagar Prothara, Port Blair South Andaman AN IN 744101",RoC-Chennai,mca@bmcgroup.in,NA,NA
U74999AN2012PTC000173,ANDAMAN INNOVATIVE SYSTEMS & LOGISTICS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,16-04-2012,Andaman and Nicobar Islands,500000,100000,`74999,Business Services,"NO.7, FIRST FLOOR, TAMIZHAR SANGAM BUILDING M.A.ROAD, PHOENIX BAY, PORT BLAIR PORT BLAIR Andaman Islands AN IN 744101",RoC-Chennai,isl_pb@rediffmail.com,NA,NA
U74999AN2014PTC000221,DAAM UDYOG INDIA PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,27-03-2014,Andaman and Nicobar Islands,1000000,100000,`74999,Business Services,Middle Point PORT BLAIR AN IN 744101,RoC-Chennai,saidheerajsingh@gmail.com,NA,NA
U74999AN2014PTC000240,MU STUDIOS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,24-12-2014,Andaman and Nicobar Islands,1000000,600000,`74999,Business Services,"SRI RAM COMPLEX OPP TO OLD TAXI STAND, ABERDEEN BAZAR PORT BLAIR AN IN 744101",RoC-Chennai,nmkathiravan@gmail.com,31-03-2017,31-03-2017
U74999AN2015PTC000241,OASIS PLAZA PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,19-01-2015,Andaman and Nicobar Islands,200000,200000,`74999,Business Services,JUNGLIGHAT SOUTH ANDAMAN PORT BLAIR Andaman Islands AN IN 744103,RoC-Chennai,babu.badat@gmail.com,31-03-2017,31-03-2017
U74999AN2016OPC005311,MARUDHU PANDIYAN SECURITY & FACILITY MANAGEMENT SERVICE PRIVATE LIMITED (OPC),Active,Private(One Person Company),Company limited by Shares,Non-govt company,18-08-2016,Andaman and Nicobar Islands,100000,100000,`74999,Business Services,"SUBASH GRAM, W. NO-3, OPP. SAMITY SHOPPING COMPLEX DIGIPUR, NORTH ANDAMAN Andaman Islands AN IN 744202",RCAND,rajendranpalaniappan@rediffmail.com,NA,NA
U74999AN2016PTC000291,ANDAMAN LEISURE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,16-03-2016,Andaman and Nicobar Islands,100000,100000,`74999,Business Services,Kalawati Phonix bay Port Blair Andaman Islands AN IN 744102,RoC-Chennai,roc@vlp.co.in,31-03-2017,31-03-2017
U74999AN2016PTC000294,KITE INFRATECH PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,18-03-2016,Andaman and Nicobar Islands,100000,100000,`74999,Business Services,PLOT NO.1199/2 NEAR ANIDCO PETROL PUMP GOALGHAR PORTBLAIR Andaman Islands AN IN 744103,RoC-Chennai,prasanna1970@gmail.com,NA,NA
U74999AN2016PTC005300,DEEP SEA RESORT (ANDAMAN) PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,20-05-2016,Andaman and Nicobar Islands,1000000,300000,`74999,Business Services,SUKHEN MANDAL RAM NAGAR PORT BLAIR Andaman Islands AN IN 744101,RoC-Chennai,ROC@VLP.CO.IN,31-03-2017,31-03-2017
U74999AN2016PTC005315,HOLIDAY 2 ANDAMAN CORPORATE AND LEISURE TRAVELS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,28-09-2016,Andaman and Nicobar Islands,100000,100000,`74999,Business Services,1ST FLOOR SHOP NO II OPP JAMA MASJID VIJAY BAUGH ROAD JUNGLIGHAT PORT BLAIR Andaman Islands AN IN 744103,RCAND,holiday2andaman@gmail.com,31-03-2017,31-03-2017
U74999AN2016PTC005318,ANDAMAN & NICOBAR MINERAL WATER PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,18-11-2016,Andaman and Nicobar Islands,100000,100000,`74999,Business Services,JUNGLIGHAT PORT BLAIR Andaman Islands AN IN 744103,RCAND,RAJENDRAN.ANI24@GMAIL.COM,NA,NA
U74999AN2016PTC005326,ANDAMAN SEA WONDERS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,29-12-2016,Andaman and Nicobar Islands,1000000,100000,`74999,Business Services,R P ROAD 21/26 DIGNABAD PORT BLAIR SOUTH ANDAMAN Andaman Islands AN IN 744101,RCAND,SMJAVEDJAFRIN@GMAIL.COM,31-03-2017,31-03-2017
U74999AN2017OPC005357,SAFECRACKERS TRAVEL AND EXCURSIONS INDIA (OPC) PRIVATE LIMITED,Active,Private(One Person Company),Company limited by Shares,Non-govt company,29-06-2017,Andaman and Nicobar Islands,100000,100000,`74999,Business Services,"29 KM, GANDHI NAGAR CAMPBELL BAY GREAT NICOBAR AN IN 744302",RCAND,KARTEEK.TARUN@GMAIL.COM,NA,NA
U74999AN2017OPC005377,ENCHANTING ANDAMANS TOUR (OPC) PRIVATE LIMITED,Active,Private(One Person Company),Company limited by Shares,Non-govt company,08-11-2017,Andaman and Nicobar Islands,100000,100000,`74999,Business Services,"70, B-3, First Floor, MG Market Aberdeen Bazaar, Port Blair South Andaman Andaman Islands AN IN 744101",RCAND,reachandamans@gmail.com,NA,NA
U74999AN2017PTC005330,VERTIGO INFRASTRUCTURE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,10-01-2017,Andaman and Nicobar Islands,100000,100000,`74999,Business Services,BIRD LANE PORT BLAIR SOUTH ANDAMAN Andaman Islands AN IN 744105,RCAND,SURAJSELVAM25@GMAIL.COM,31-03-2017,31-03-2017
U74999AN2017PTC005333,NABAJIT REAL ESTATE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,17-01-2017,Andaman and Nicobar Islands,1000000,100000,`74999,Business Services,CHOULDHARI PORT BLAIR Andaman Islands AN IN 744103,RCAND,INDRAJITMISTRY68@GMAIL.COM,31-03-2017,NA
U74999AN2017PTC005335,MYUZ HOSPITALITY SERVICES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,20-01-2017,Andaman and Nicobar Islands,500000,500000,`74999,Business Services,"No 22, Church Lane,Carmel School Road, Goal Ghar,Port Blair Andaman and Nicobar Islands Andaman Islands AN IN 744101",RCAND,ripos@andamanexoticholidays.com,NA,NA
U74999AN2017PTC005339,SCUBA ADVENTURES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,16-02-2017,Andaman and Nicobar Islands,100000,100000,`74999,Business Services,"Naya Basthi, Bambooflat, Bambooflat Andaman Islands AN IN 744107",RCAND,santosh.dayarkar@gmail.com,NA,NA
U74999AN2017PTC005352,BAUL & SONS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,21-04-2017,Andaman and Nicobar Islands,100000,100000,`74999,Business Services,"SHOP NO 10, ZPSC COMPLEX BILLIGROUND BAZAR(H/N) NORTH AND MIDDLE ANDAMAN Andaman Islands AN IN 744201",RCAND,baulindia57@gmail.com,NA,NA
U74999AN2017PTC005353,ANDAMAN AIRWAYS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,03-05-2017,Andaman and Nicobar Islands,60000000,53502000,`74999,Business Services,"SURVEY NO. 2388/2 AT MB-210, PART II ROOM NO. 3, GROUND FLOOR, VILL SHADIPUR PORT BLAIR Andaman Islands AN IN 744106",RCAND,nadeemixz@gmail.com,NA,NA
U74999AN2017PTC005354,ANDAMAN AQUA WATER SPORTS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,11-05-2017,Andaman and Nicobar Islands,1000000,100000,`74999,Business Services,HAVELOCK PORT BLAIR SOUTH ANDAMAN Andaman Islands AN IN 744211,RCAND,SUNILMUKUL_89@REDIFFMAIL.COM,NA,NA
U74999AN2017PTC005355,RUBIECUBE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,25-05-2017,Andaman and Nicobar Islands,100000,100000,`74999,Business Services,"NO 14, MARTHOMA CHURCH COMPLEX GOALGHAR PORT BLAIR Andaman Islands AN IN 744102",RCAND,rubiecubepvtltd@gmail.com,NA,NA
U74999AN2017PTC005356,COLOURS OF EMERALD ISLANDS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,31-05-2017,Andaman and Nicobar Islands,100000,100000,`74999,Business Services,HADDO (BACK TEL. MEDIUM SCHOOL) PORT BLAIR SOUTH ANDAMAN Andaman Islands AN IN 744101,RCAND,ramesh@divemantra.com,NA,NA
U74999AN2017PTC005358,SHADELOFT INNOVATION PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,01-08-2017,Andaman and Nicobar Islands,400000,100000,`74999,Business Services,"Subhas Gram, Diglipur, North Andaman Andaman Islands AN IN 744202",RCAND,mac.seagem@gmail.com,NA,NA
U74999AN2017PTC005361,MEMORIES ANDAMAN TRAVELS AND ADVENTURES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,28-08-2017,Andaman and Nicobar Islands,1000000,100000,`74999,Business Services,GAVIND NAGAR HAVELOCK PORT BLAIR SOUTH ANDAMAN Andaman Islands AN IN 744211,RCAND,sunilmukul_sa@rediffmail.com,NA,NA
U74999AN2017PTC005368,DUGONG SERVICES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,22-09-2017,Andaman and Nicobar Islands,100000,100000,`74999,Business Services,"Survey No.37/2, Ward No.24,Nr Sahil shop Vivekananda Colony,Bathubasti,Port Blair South Andaman Andaman Islands AN IN 744105",RCAND,manishraj280389@gmail.com,NA,NA
U74999AN2017PTC005369,ANDAMAN SEA TREK ADVENTURES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,22-09-2017,Andaman and Nicobar Islands,1000000,100000,`74999,Business Services,"INDERJEET KAUR RGT ROAD, SHADIPUR,PORT BLAIR SOUTH ANDAMAN Andaman Islands AN IN 744101",RCAND,kd.anup@gmail.com,NA,NA
U74999AN2017PTC005371,ANDAMAN GALAXY SHIP MANAGEMENT PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,10-10-2017,Andaman and Nicobar Islands,1000000,100000,`74999,Business Services,"KADIAMOO NEAR ASLAM INSPECTOR HOUSE PHONEIX BAY,PORT BLAIR Andaman Islands AN IN 744101",RCAND,nvsabith@gmail.com,NA,NA
U74999AN2017PTC005375,ANDAMAN REEF PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,01-11-2017,Andaman and Nicobar Islands,1000000,100000,`74999,Business Services,URMILA DEVI SINGH 127 JN ROAD PREM NAGAR DELANIPUR PORT BLAIR Andaman Islands AN IN 744102,RCAND,shiprabikram@yahoo.com,NA,NA
U74999AN2017PTC005376,RITIKA'S DIAGNOSTIC SOLUTIONS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,02-11-2017,Andaman and Nicobar Islands,1000000,100000,`74999,Business Services,"ROOM NO 1,ABERDEEN VILLAGE, GURUDWARA LANE, SOUTH ANDAMAN PORT BLAIR Andaman Islands AN IN 744101",RCAND,solutionsdiagnostic@gmail.com,NA,NA
U74999AN2017PTC005378,OFF ROAD SPORTS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,09-11-2017,Andaman and Nicobar Islands,1000000,100000,`74999,Business Services,JOHNY GEORGE GOALGHAR PORT BLAIR SOUTH ANDAMAN Andaman Islands AN IN 744101,RCAND,contact@andamanisland.in,NA,NA
U74999AN2017PTC005380,ANDAMAN SAHA PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,23-11-2017,Andaman and Nicobar Islands,1000000,100000,`74999,Business Services,ASHUTOSH DAS OLD PAHARGAON PORT BLAIR Andaman Islands AN IN 744105,RCAND,kawshiksaha26@gmail.com,NA,NA
U74999AN2017PTC005381,YELLOWBOARD VACATIONS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,23-11-2017,Andaman and Nicobar Islands,500000,100000,`74999,Business Services,"#12, Sahajeevan Housing Colony Haddo Port Blair Andaman Islands AN IN 744102",RCAND,ashwin_d@live.com,NA,NA
U74999AN2017PTC005384,100KEYS TRADECOM PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,08-12-2017,Andaman and Nicobar Islands,100000,100000,`74999,Business Services,"C/O PHOENIX LODGE, 64 MA ROAD, PHOENIX BAY, PORT BLAIR Andaman Islands AN IN 744101",RCAND,contact@tttrading.in,NA,NA
U74999AN2018OPC005392,REEF VALLEY RESORT (OPC) PRIVATE LIMITED,Active,Private(One Person Company),Company limited by Shares,Non-govt company,12-01-2018,Andaman and Nicobar Islands,1000000,100000,`74999,Business Services,"BHAGIRATH DEBNATH LAKSHMANPUR, NEIL ISLAND PORT BLAIR Andaman Islands AN IN 744104",RCAND,dr.bhagirathdebnath@gmail.com,NA,NA
U74999AN2018PTC005388,ADORABLE ANDAMAN LEISURE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,03-01-2018,Andaman and Nicobar Islands,1000000,100000,`74999,Business Services,BATHUBASTI PORT BLAIR PORT BLAIR Andaman Islands AN IN 744105,RCAND,sunilmukul1004@gmail.com,NA,NA
U74999AN2018PTC005393,ISLAND DATA SOLUTIONS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,17-01-2018,Andaman and Nicobar Islands,1200000,1200000,`74999,Business Services,"SATYA PRAKASH LALL, SURVEY NO.1081/2 SUNSHINE CABLE, M.G.ROAD, 3RD CROSS ROAD PORT BLAIR Andaman Islands AN IN 744103",RCAND,sunshinecables@gmail.com,NA,NA
U74999AN2018PTC005395,SHRINE MEDIA PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,08-02-2018,Andaman and Nicobar Islands,1000000,100000,`74999,Business Services,DEV RAJ ANAND HADDO PORT BLAIR Andaman Islands AN IN 744102,RCAND,annu.ixz@gmail.com,NA,NA
U74999AN2018PTC005397,EKOISLAND HOSPITALITY PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,21-02-2018,Andaman and Nicobar Islands,1000000,100000,`74999,Business Services,AMIT MANGU KRISHNA NAGAR HAVELOCK PORT BLAIR Andaman Islands AN IN 744211,RCAND,khadi999@gmail.com,NA,NA
U74999AN2018PTC005399,MEENAKSHI SHIPPING SERVICES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,28-02-2018,Andaman and Nicobar Islands,500000,100000,`74999,Business Services,"3rd Floor, DMK Building, Survey No. 1699/12, Phoneix Bay PORT BLAIR Andaman Islands AN IN 744101",RCAND,meenakshishipping@gmail.com,NA,NA
U74999AN2018PTC005401,SEVENHILLS GOLD & SILVER PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,12-03-2018,Andaman and Nicobar Islands,100000,100000,`74999,Business Services,"43,DASMESH MARKET,DR.DIWAN SINGH GURUDWARA LINE SOUTH ANDAMAN Andaman Islands AN IN 744101",RCAND,trmurugeshan@gmail.com,NA,NA
U61100AN1973PTC000001,BAY ISLANDS SHIPPING COMPANY PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,04-08-1973,Andaman and Nicobar Islands,0,0,`61100,"Transport, storage and Communications",XXX XXX AN IN 744101,RoC-Chennai,NA,NA,NA
